Sourness;Fruitiness;Sweetness;Saltiness;Preservatives;Alcohol%;Quality
7.7;0.04;3.8;0.084;45.0;9.5;0
10.2;0.57;3.4;0.07;10.0;9.6;0
7.5;0.12;5.1;0.111;110.0;9.4;0
7.8;0.18;2.3;0.076;54.0;10.0;0
7.3;0.31;2.4;0.074;46.0;9.4;1
8.8;0.4;2.2;0.079;52.0;9.2;0
7.7;0.49;1.8;0.115;112.0;9.3;0
7.5;0.16;1.9;0.085;35.0;9.5;1
7.0;0.05;2.0;0.081;54.0;9.8;0
7.2;0.05;4.65;0.086;11.0;10.9;0
7.2;0.05;4.65;0.086;11.0;10.9;0
7.5;0.11;1.5;0.079;39.0;9.6;0
6.6;0.07;1.6;0.076;15.0;10.7;0
9.3;0.57;2.0;0.074;65.0;10.7;0
8.0;0.05;1.9;0.074;19.0;10.5;1
7.7;0.08;1.9;0.076;27.0;9.5;1
7.7;0.23;2.1;0.088;96.0;9.5;0
7.7;0.22;1.9;0.084;94.0;9.5;0
8.3;0.26;2.1;0.084;43.0;9.2;0
9.7;0.54;2.5;0.094;83.0;9.6;0
8.8;0.64;2.2;0.093;42.0;10.5;0
8.8;0.64;2.2;0.093;42.0;10.5;0
6.8;0.0;2.4;0.104;30.0;10.7;1
6.7;0.12;2.0;0.086;80.0;10.1;0
8.3;0.2;1.5;0.08;119.0;9.1;0
6.2;0.2;1.6;0.069;15.0;9.2;0
7.8;0.7;1.9;0.464;67.0;9.4;0
7.4;0.47;2.0;0.086;73.0;9.1;0
7.3;0.26;1.8;0.401;51.0;9.4;0
6.3;0.48;1.8;0.069;61.0;10.3;1
6.9;0.15;2.2;0.076;40.0;10.1;0
8.6;0.28;1.9;0.11;136.0;9.9;1
7.7;0.26;1.9;0.062;31.0;9.6;0
9.3;0.44;2.1;0.107;125.0;9.5;0
7.0;0.08;1.8;0.076;24.0;9.0;0
7.9;0.26;1.9;0.079;140.0;9.5;0
8.6;0.28;1.9;0.11;136.0;9.9;1
8.6;0.29;2.0;0.11;133.0;9.8;0
7.7;0.26;1.9;0.062;31.0;9.6;0
5.0;0.04;1.4;0.045;85.0;10.5;0
4.7;0.17;2.3;0.058;106.0;12.9;1
6.8;0.0;3.0;0.102;23.0;10.7;0
7.0;0.25;2.0;0.07;22.0;9.2;0
7.6;0.06;2.5;0.079;10.0;9.8;0
8.1;0.18;1.9;0.08;35.0;9.0;1
8.3;0.3;2.1;0.084;50.0;10.2;1
7.8;0.3;1.9;0.075;22.0;10.4;1
8.1;0.18;1.9;0.08;35.0;9.0;1
8.1;0.22;2.1;0.077;65.0;9.2;0
7.2;0.24;2.2;0.07;36.0;9.4;0
8.1;0.22;2.1;0.077;65.0;9.2;0
7.8;0.68;1.7;0.467;69.0;9.3;0
6.2;0.31;1.7;0.088;64.0;9.3;0
8.0;0.53;2.5;0.091;80.0;9.6;1
8.1;0.52;2.0;0.122;153.0;9.3;0
7.8;0.19;1.8;0.104;47.0;9.5;0
8.4;0.09;2.2;0.084;108.0;9.8;0
8.4;0.1;2.2;0.085;111.0;9.8;0
10.1;0.44;2.3;0.08;46.0;9.7;1
7.8;0.19;1.8;0.104;47.0;9.5;0
9.4;0.31;2.2;0.09;62.0;10.5;1
8.3;0.28;1.9;0.077;40.0;10.0;1
7.8;0.12;2.0;0.082;28.0;9.4;1
8.8;0.04;2.2;0.119;56.0;10.9;1
7.0;0.08;1.8;0.097;89.0;9.2;1
7.3;0.09;1.7;0.178;89.0;9.0;0
8.8;0.04;2.2;0.119;56.0;10.9;1
7.3;0.0;2.5;0.075;13.0;9.2;0
8.0;0.0;2.6;0.08;34.0;9.5;0
7.8;0.17;1.6;0.082;102.0;9.5;0
9.0;0.04;1.9;0.146;90.0;9.4;0
8.2;0.0;1.7;0.081;12.0;10.9;0
8.1;0.0;1.8;0.082;12.0;10.9;0
8.0;0.16;1.8;0.065;16.0;10.5;1
6.1;0.15;1.8;0.072;19.0;9.4;0
8.0;0.56;2.0;0.118;134.0;9.4;0
5.6;0.09;2.3;0.049;99.0;13.0;0
5.6;0.09;2.3;0.049;99.0;13.0;0
6.6;0.01;1.5;0.06;26.0;9.8;1
7.9;0.05;2.2;0.084;29.0;9.9;1
8.4;0.11;1.9;0.09;63.0;9.6;0
8.3;0.15;1.8;0.089;52.0;9.5;0
7.2;0.36;2.0;0.081;45.0;9.2;0
7.8;0.19;2.1;0.081;105.0;9.5;0
7.8;0.19;2.0;0.081;108.0;9.5;0
8.4;0.11;1.9;0.09;63.0;9.6;0
8.3;0.15;1.8;0.089;52.0;9.5;0
5.2;0.0;1.8;0.05;63.0;14.0;1
6.3;0.08;1.7;0.066;20.0;9.4;0
5.2;0.0;1.8;0.05;63.0;14.0;1
8.1;0.55;1.8;0.117;141.0;9.4;0
5.8;0.02;1.8;0.087;94.0;10.0;0
7.6;0.26;1.6;0.236;88.0;9.3;0
6.9;0.1;2.3;0.074;30.0;10.2;1
8.2;0.44;2.8;0.089;43.0;10.5;1
7.3;0.47;2.1;0.077;11.0;10.3;1
9.2;1.0;3.4;0.61;69.0;9.4;0
7.5;0.03;1.8;0.095;99.0;10.1;0
7.5;0.03;1.8;0.095;99.0;10.1;0
7.1;0.42;5.5;0.07;129.0;10.5;0
7.1;0.42;5.5;0.071;128.0;10.5;0
7.1;0.42;5.5;0.07;129.0;10.5;0
7.1;0.42;5.5;0.071;128.0;10.5;0
7.1;0.0;2.2;0.073;22.0;9.3;0
6.8;0.18;1.9;0.079;86.0;9.3;1
7.6;0.03;2.0;0.09;20.0;9.6;0
7.6;0.02;1.3;0.072;20.0;9.2;0
7.8;0.04;1.7;0.076;31.0;10.0;1
7.4;0.26;7.3;0.07;121.0;9.4;0
7.3;0.26;7.2;0.07;121.0;9.4;0
7.8;0.48;1.7;0.1;96.0;9.5;0
6.8;0.1;2.1;0.085;101.0;10.2;0
7.3;0.03;1.6;0.072;42.0;9.0;0
6.8;0.07;2.1;0.089;44.0;10.4;1
7.5;0.24;1.8;0.36;63.0;9.5;0
7.9;0.03;1.8;0.058;8.0;9.1;0
8.0;0.17;2.0;0.073;18.0;9.2;1
8.0;0.17;2.0;0.073;18.0;9.2;1
7.4;0.05;1.9;0.068;42.0;11.5;1
7.3;0.21;2.0;0.08;35.0;9.5;0
6.9;0.04;1.5;0.085;49.0;9.5;0
7.3;0.21;2.0;0.08;35.0;9.5;0
7.5;0.42;2.3;0.087;38.0;10.5;1
7.0;0.0;2.5;0.068;20.0;9.6;0
8.8;0.14;2.4;0.067;42.0;9.5;0
8.8;0.14;2.4;0.067;42.0;9.5;0
8.9;0.49;2.0;0.27;110.0;9.3;0
7.2;0.02;2.5;0.076;42.0;9.3;0
6.8;0.2;1.8;0.077;65.0;9.3;0
6.7;0.21;1.9;0.079;62.0;9.3;1
8.9;0.57;2.0;0.111;85.0;9.7;0
7.4;0.48;2.0;0.082;67.0;9.2;0
7.7;0.1;2.6;0.084;26.0;9.7;0
7.9;0.33;2.0;0.084;143.0;9.5;0
7.9;0.32;1.9;0.082;144.0;9.5;0
8.2;0.35;2.9;0.077;127.0;9.4;0
6.4;0.25;1.9;0.074;49.0;9.8;1
6.8;0.12;3.8;0.099;126.0;9.5;0
7.6;0.21;2.2;0.071;28.0;9.7;0
7.6;0.21;2.2;0.071;28.0;9.7;0
7.8;0.33;2.0;0.074;120.0;9.4;0
7.3;0.3;2.4;0.074;55.0;10.2;0
11.5;0.6;2.0;0.067;27.0;10.1;1
5.4;0.08;1.2;0.046;93.0;13.0;1
6.9;0.06;2.1;0.061;31.0;11.4;0
9.6;0.47;1.4;0.056;24.0;10.3;1
8.8;0.48;2.1;0.097;145.0;9.3;0
6.8;0.11;1.5;0.075;49.0;9.5;0
7.0;0.35;1.6;0.088;39.0;9.2;0
7.0;0.36;1.6;0.089;37.0;9.2;1
12.8;0.74;2.6;0.095;28.0;10.8;1
12.8;0.74;2.6;0.095;28.0;10.8;1
7.8;0.31;1.8;0.069;120.0;9.3;0
7.8;0.28;2.7;0.1;95.0;9.4;0
11.0;0.58;2.1;0.054;19.0;10.5;1
9.7;0.6;2.0;0.039;19.0;12.4;1
8.0;0.24;2.8;0.083;62.0;10.0;1
11.6;0.64;2.1;0.059;15.0;10.2;1
8.2;0.26;2.2;0.06;65.0;10.1;0
7.8;0.08;2.4;0.092;41.0;9.8;1
7.0;0.49;5.6;0.06;121.0;10.5;0
8.7;0.16;2.0;0.101;49.0;11.0;0
8.1;0.22;2.2;0.072;41.0;9.1;0
7.5;0.19;1.9;0.076;44.0;9.7;0
7.8;0.33;2.4;0.08;144.0;9.5;0
7.8;0.37;2.0;0.082;58.0;9.4;1
7.4;0.26;2.0;0.101;72.0;9.4;0
6.8;0.04;1.5;0.057;10.0;9.5;0
8.6;0.25;2.0;0.083;28.0;10.0;1
8.4;0.36;2.0;0.089;55.0;10.4;0
7.7;0.25;2.6;0.073;63.0;10.5;1
8.9;0.5;2.0;0.337;81.0;9.5;1
9.0;0.14;2.6;0.089;23.0;9.8;0
7.7;0.25;2.6;0.073;63.0;10.5;1
6.9;0.25;2.6;0.081;37.0;11.0;0
5.2;0.04;1.6;0.054;106.0;12.2;1
8.0;0.06;1.8;0.078;49.0;9.9;1
8.5;0.2;2.8;0.09;58.0;9.6;1
6.9;0.25;2.6;0.081;37.0;11.0;0
8.2;0.09;2.3;0.065;37.0;9.0;1
7.2;0.0;1.9;0.097;38.0;9.0;1
7.2;0.0;1.9;0.097;38.0;9.0;1
7.2;0.0;1.9;0.097;39.0;9.2;1
7.2;0.0;1.9;0.097;38.0;9.0;1
8.2;0.09;2.3;0.065;37.0;9.0;1
8.9;0.37;1.7;0.263;62.0;9.3;0
12.0;0.56;2.1;0.093;24.0;10.9;1
7.7;0.1;1.8;0.102;109.0;9.8;1
15.0;0.44;2.2;0.075;24.0;9.2;1
15.0;0.44;2.2;0.075;24.0;9.2;1
7.3;0.0;2.0;0.084;23.0;9.9;1
7.1;0.07;1.9;0.075;51.0;9.5;0
8.2;0.17;2.3;0.072;73.0;9.3;0
7.7;0.06;1.7;0.074;39.0;9.8;1
7.3;0.0;2.0;0.084;23.0;9.9;1
10.8;0.44;1.6;0.063;37.0;10.0;1
7.1;0.0;1.8;0.074;34.0;9.9;1
11.1;0.48;3.1;0.09;21.0;10.5;0
7.7;0.42;1.9;0.092;86.0;9.5;0
7.1;0.0;1.8;0.074;34.0;9.9;1
8.0;0.23;3.2;0.073;119.0;9.3;0
9.4;0.37;2.2;0.075;13.0;9.2;0
6.6;0.0;2.1;0.075;56.0;9.2;0
7.7;0.76;1.8;0.611;45.0;9.4;0
10.0;0.47;2.6;0.085;33.0;10.5;1
7.9;0.23;1.7;0.077;45.0;9.3;0
7.0;0.04;2.0;0.087;67.0;9.4;0
8.0;0.03;1.7;0.07;35.0;10.0;0
7.9;0.23;1.8;0.077;49.0;9.3;0
12.5;0.49;2.4;0.064;27.0;10.9;0
11.8;0.52;1.8;0.071;10.0;10.2;1
8.1;0.0;3.3;0.096;61.0;9.8;0
7.9;0.46;3.6;0.078;37.0;12.8;1
6.9;0.04;3.0;0.077;27.0;9.4;1
11.5;0.51;4.0;0.104;23.0;10.1;1
7.9;0.06;4.0;0.087;61.0;10.7;1
11.5;0.51;4.0;0.104;23.0;10.1;1
10.9;0.58;4.0;0.071;65.0;10.1;0
8.4;0.2;2.4;0.076;38.0;9.4;0
7.5;0.18;7.0;0.088;94.0;9.4;0
7.9;0.06;4.0;0.087;61.0;10.7;1
6.9;0.04;3.0;0.077;27.0;9.4;1
11.5;0.51;4.0;0.104;23.0;10.1;1
10.3;0.45;6.4;0.073;13.0;12.6;1
8.9;0.32;5.6;0.087;47.0;10.5;1
11.4;0.44;3.6;0.071;19.0;9.3;1
7.7;0.68;3.5;0.358;10.0;9.9;1
7.6;0.12;3.0;0.067;53.0;9.1;0
8.9;0.32;5.6;0.087;47.0;10.5;1
9.9;0.07;3.4;0.102;71.0;9.8;0
9.9;0.07;3.4;0.102;71.0;9.8;0
12.0;0.55;2.0;0.073;49.0;10.3;1
7.5;0.12;3.0;0.092;53.0;10.3;1
8.7;0.09;2.5;0.091;49.0;10.6;1
11.6;0.53;3.3;0.105;98.0;9.2;0
8.7;0.09;2.5;0.091;49.0;10.6;1
11.0;0.48;2.0;0.343;18.0;10.5;0
10.4;0.23;2.7;0.091;48.0;10.3;1
6.9;0.25;2.4;0.098;16.0;10.1;1
13.3;0.52;3.2;0.094;53.0;9.5;1
10.8;0.46;2.5;0.073;27.0;9.5;0
10.6;0.37;2.6;0.086;70.0;9.9;0
7.1;0.06;2.0;0.083;29.0;9.6;0
7.2;0.02;2.3;0.094;31.0;9.7;0
6.9;0.06;2.1;0.08;33.0;9.6;0
7.5;0.06;2.6;0.086;44.0;10.7;1
11.1;0.48;1.5;0.068;15.0;10.1;1
8.3;0.12;2.6;0.092;28.0;10.0;0
7.4;0.12;1.6;0.186;21.0;9.5;0
8.4;0.6;2.1;0.112;90.0;9.2;0
10.3;0.48;2.5;0.063;25.0;9.3;1
7.6;0.32;2.2;0.082;54.0;9.4;0
10.3;0.42;2.4;0.213;14.0;9.5;1
10.3;0.44;2.4;0.214;12.0;9.5;1
7.4;0.38;1.7;0.062;30.0;9.5;1
10.3;0.48;2.5;0.063;25.0;9.3;1
7.9;0.24;2.0;0.072;105.0;9.4;1
9.0;0.31;2.8;0.093;98.0;9.5;1
8.6;0.3;3.0;0.076;135.0;9.4;0
7.4;0.29;2.6;0.087;72.0;11.0;0
7.1;0.29;2.5;0.096;53.0;11.0;1
9.6;0.23;3.4;0.102;92.0;10.1;0
9.6;0.12;2.9;0.082;74.0;10.4;1
9.8;0.39;3.2;0.083;59.0;11.5;1
9.6;0.12;2.9;0.082;74.0;10.4;1
9.8;0.39;3.2;0.083;59.0;11.5;1
9.3;0.26;3.4;0.09;87.0;9.7;0
7.8;0.05;2.3;0.079;18.0;9.3;0
10.3;0.42;2.8;0.09;73.0;9.5;1
10.0;0.2;11.0;0.071;50.0;9.2;1
10.0;0.2;11.0;0.071;50.0;9.2;1
11.6;0.66;3.65;0.121;14.0;11.5;1
10.3;0.5;4.5;0.107;13.0;11.5;0
13.4;0.62;2.6;0.082;21.0;9.7;1
10.7;0.39;2.0;0.061;15.0;9.5;0
10.2;0.64;2.9;0.122;41.0;12.5;1
10.2;0.64;2.9;0.122;41.0;12.5;1
8.0;0.28;3.2;0.066;114.0;9.4;1
8.4;0.08;2.1;0.105;44.0;11.0;0
7.9;0.01;2.5;0.078;38.0;11.7;1
11.9;0.53;3.4;0.128;21.0;12.2;1
8.9;0.45;1.9;0.052;16.0;12.5;1
7.8;0.32;2.8;0.08;58.0;10.3;0
12.4;0.58;3.0;0.103;99.0;11.5;1
12.5;0.54;2.3;0.082;29.0;9.8;1
12.2;0.5;2.4;0.066;21.0;9.2;1
10.6;0.48;2.7;0.065;18.0;11.3;1
10.9;0.47;1.8;0.118;14.0;9.8;1
10.9;0.47;1.8;0.118;14.0;9.8;1
11.9;0.5;2.6;0.082;32.0;10.7;1
7.0;0.0;1.9;0.067;63.0;9.9;0
6.6;0.02;2.7;0.072;34.0;12.3;1
13.8;0.67;3.0;0.093;15.0;12.0;1
9.6;0.31;2.8;0.089;46.0;10.0;1
9.1;0.0;2.6;0.093;28.0;9.4;1
10.7;0.22;2.7;0.107;34.0;9.9;1
9.1;0.0;2.6;0.096;26.0;9.4;1
7.7;0.0;2.4;0.09;19.0;9.3;0
13.5;0.79;4.8;0.12;77.0;13.0;0
6.1;0.4;1.4;0.066;165.0;11.9;1
6.7;0.01;2.4;0.078;32.0;12.8;1
11.5;0.52;3.0;0.08;55.0;11.0;0
10.5;0.66;2.95;0.116;29.0;11.7;1
11.9;0.66;3.1;0.109;23.0;10.4;1
12.6;0.66;2.6;0.088;41.0;9.8;1
8.2;0.23;2.0;0.099;81.0;9.4;0
8.6;0.31;2.6;0.086;50.0;9.9;1
11.9;0.66;2.5;0.072;37.0;10.0;0
12.5;0.63;2.0;0.071;15.0;10.2;0
12.8;0.66;5.8;0.083;42.0;10.0;1
10.0;0.5;3.4;0.107;21.0;11.8;1
12.8;0.66;5.8;0.083;42.0;10.0;1
10.4;0.61;2.6;0.076;24.0;9.0;0
10.3;0.52;2.8;0.159;75.0;9.4;0
9.4;0.53;2.4;0.074;18.0;12.0;1
6.9;0.02;2.3;0.063;63.0;9.9;0
7.9;0.4;1.6;0.056;25.0;8.7;1
9.1;0.48;1.8;0.067;46.0;10.6;1
7.4;0.22;2.2;0.106;72.0;9.2;0
14.0;0.63;3.8;0.089;47.0;10.8;1
11.5;0.71;4.4;0.124;15.0;11.8;1
11.5;0.5;3.0;0.078;47.0;11.0;1
9.4;0.53;2.4;0.074;18.0;12.0;1
11.4;0.66;6.2;0.088;24.0;13.3;1
8.3;0.38;2.5;0.094;60.0;10.8;1
8.3;0.42;2.0;0.08;27.0;9.4;1
13.7;0.68;2.9;0.085;43.0;10.0;1
8.3;0.42;2.0;0.08;27.0;9.4;1
8.3;0.42;2.0;0.08;27.0;9.4;1
7.7;0.28;2.1;0.087;54.0;9.2;0
7.4;0.07;2.4;0.09;37.0;9.7;1
7.8;0.26;2.0;0.088;48.0;9.2;1
8.3;0.15;1.9;0.079;42.0;9.6;1
7.8;0.26;1.9;0.088;53.0;9.2;1
9.6;0.31;2.5;0.096;49.0;10.0;1
5.6;0.05;1.4;0.045;88.0;12.9;1
13.7;0.68;2.9;0.085;43.0;10.0;1
9.5;0.52;2.0;0.082;26.0;9.5;0
8.4;0.61;2.0;0.112;95.0;9.1;0
12.7;0.65;2.3;0.063;25.0;9.9;0
12.0;0.76;4.2;0.066;38.0;13.0;1
6.6;0.02;7.9;0.122;124.0;9.9;0
11.5;0.59;2.6;0.087;49.0;11.0;1
11.5;0.59;2.6;0.087;49.0;11.0;1
8.7;0.22;2.3;0.064;42.0;9.4;0
6.6;0.02;7.9;0.122;124.0;9.9;0
7.7;0.3;1.7;0.059;38.0;10.8;1
12.2;0.54;2.6;0.085;64.0;10.5;1
11.4;0.49;2.7;0.085;41.0;10.5;1
7.7;0.05;2.7;0.075;27.0;9.1;0
8.7;0.46;1.4;0.059;25.0;10.1;1
9.8;0.47;2.5;0.063;28.0;10.8;1
12.0;0.66;3.0;0.093;30.0;10.8;1
10.4;0.58;3.7;0.174;16.0;11.3;1
12.5;0.49;4.5;0.07;49.0;9.6;0
9.0;0.34;2.5;0.08;86.0;9.5;1
9.1;0.35;2.4;0.08;78.0;9.5;0
7.1;0.16;1.9;0.1;77.0;9.3;0
9.9;0.53;6.7;0.097;19.0;11.7;1
8.8;0.34;2.7;0.087;122.0;9.5;0
8.6;0.24;6.6;0.117;134.0;9.3;0
10.6;0.64;2.2;0.111;20.0;11.7;1
7.0;0.12;1.9;0.091;124.0;10.5;0
11.9;0.51;2.0;0.121;20.0;10.4;1
6.8;0.0;1.8;0.066;52.0;9.9;0
9.5;0.33;2.4;0.089;67.0;11.8;1
6.6;0.03;2.3;0.059;48.0;12.3;1
7.7;0.2;2.0;0.047;60.0;10.9;0
10.5;0.47;2.1;0.066;24.0;11.0;1
7.7;0.2;2.0;0.047;60.0;10.9;0
6.6;0.03;2.3;0.059;48.0;12.3;1
6.4;0.08;2.1;0.045;48.0;11.4;1
9.5;0.22;1.9;0.077;32.0;10.6;1
9.1;0.33;1.3;0.07;30.0;9.3;0
12.8;0.63;2.4;0.088;35.0;10.4;1
10.5;0.47;2.1;0.066;24.0;11.0;1
7.8;0.35;2.2;0.074;66.0;9.2;0
11.9;0.69;2.3;0.078;24.0;12.8;1
12.3;0.63;2.3;0.091;18.0;9.5;0
10.4;0.55;3.2;0.076;54.0;9.9;1
12.3;0.63;2.3;0.091;18.0;9.5;0
8.0;0.3;2.0;0.06;62.0;10.2;1
11.1;0.73;3.2;0.066;22.0;11.2;1
10.4;0.55;3.2;0.076;54.0;9.9;1
7.0;0.18;1.5;0.062;50.0;9.3;0
12.6;0.72;2.2;0.072;29.0;9.8;1
11.9;0.65;2.15;0.068;27.0;11.3;1
15.6;0.76;3.7;0.1;43.0;11.2;1
10.0;0.49;2.7;0.077;19.0;11.6;1
5.3;0.01;1.7;0.054;27.0;12.5;1
9.5;0.1;2.1;0.079;31.0;10.1;1
12.5;0.6;2.6;0.081;72.0;10.5;0
9.3;0.29;2.1;0.127;16.0;11.2;0
8.6;0.22;2.0;0.1;27.0;10.2;1
11.9;0.69;2.8;0.095;35.0;10.8;1
11.9;0.69;2.8;0.095;35.0;10.8;1
8.4;0.53;1.8;0.413;26.0;9.1;1
6.8;0.03;1.7;0.084;35.0;10.0;1
10.4;0.63;2.8;0.084;22.0;11.2;1
7.0;0.4;1.6;0.063;67.0;11.1;0
11.3;0.67;5.2;0.086;19.0;13.4;1
8.9;0.39;2.3;0.095;22.0;10.3;0
9.2;0.21;2.7;0.097;65.0;9.6;0
10.4;0.63;2.8;0.084;22.0;11.2;1
11.6;0.66;2.2;0.074;47.0;9.0;0
9.2;0.52;2.3;0.083;23.0;11.3;1
8.3;0.22;2.6;0.087;19.0;9.3;0
11.0;0.68;2.55;0.085;25.0;11.8;0
8.1;0.7;2.2;0.098;129.0;9.0;0
11.5;0.54;2.1;0.084;15.0;9.2;1
10.0;0.4;2.9;0.098;26.0;9.7;0
10.3;0.42;2.0;0.069;51.0;11.5;1
8.8;0.45;2.6;0.065;18.0;14.0;1
11.4;0.69;2.1;0.09;21.0;9.2;1
8.7;0.02;1.2;0.07;48.0;9.8;0
13.0;0.65;2.6;0.093;47.0;10.6;0
9.6;0.42;2.4;0.081;52.0;11.4;1
12.5;0.55;2.6;0.083;68.0;10.4;1
9.9;0.55;2.1;0.062;14.0;10.6;0
10.5;0.51;1.7;0.08;24.0;9.4;1
9.6;0.24;2.2;0.087;28.0;10.2;0
9.3;0.41;2.0;0.091;16.0;9.7;0
10.4;0.49;1.8;0.075;20.0;11.0;1
9.6;0.24;2.2;0.087;28.0;10.2;0
9.4;0.11;2.7;0.077;31.0;10.1;1
10.6;0.39;15.5;0.069;23.0;9.2;0
9.4;0.56;2.8;0.08;17.0;11.7;1
10.6;0.59;2.2;0.152;18.0;9.4;0
10.6;0.6;2.2;0.152;18.0;9.4;0
10.6;0.68;4.1;0.114;24.0;13.4;1
10.2;0.39;1.9;0.054;17.0;10.0;0
10.2;0.39;1.9;0.054;17.0;10.0;0
10.2;0.36;1.8;0.053;14.0;10.0;1
11.6;0.55;2.8;0.081;67.0;10.8;1
9.3;0.4;2.6;0.073;26.0;10.2;1
9.3;0.27;2.8;0.078;56.0;10.6;1
9.2;0.5;2.5;0.055;25.0;13.3;1
8.9;0.51;2.6;0.052;27.0;13.4;1
8.7;0.31;3.0;0.086;81.0;11.6;1
6.5;0.23;8.3;0.051;91.0;12.1;1
10.7;0.53;2.6;0.07;16.0;11.0;1
7.8;0.25;1.9;0.081;38.0;9.0;1
7.2;0.32;2.5;0.09;113.0;11.1;0
10.7;0.53;2.6;0.07;16.0;11.0;1
8.7;0.31;3.0;0.086;81.0;11.6;1
7.8;0.25;1.9;0.081;38.0;9.0;1
10.4;0.73;6.55;0.074;76.0;12.0;1
10.4;0.73;6.55;0.074;76.0;12.0;1
10.5;0.47;1.9;0.078;24.0;10.9;1
10.5;0.42;1.8;0.077;22.0;10.8;1
10.2;0.63;2.9;0.072;26.0;12.5;1
10.4;0.46;1.8;0.075;21.0;10.8;1
11.2;0.55;2.3;0.084;13.0;9.5;1
10.0;0.31;2.2;0.09;62.0;10.2;1
13.3;0.75;2.8;0.084;43.0;11.4;1
12.4;0.49;4.6;0.073;43.0;9.5;0
10.0;0.31;2.2;0.09;62.0;10.2;1
10.7;0.48;2.1;0.125;49.0;9.7;1
10.5;0.64;2.4;0.107;15.0;11.8;1
10.5;0.64;2.4;0.107;15.0;11.8;1
8.5;0.49;6.1;0.122;151.0;9.3;0
12.5;0.49;4.3;0.1;14.0;11.9;1
10.4;0.49;2.1;0.2;16.0;8.4;0
10.9;0.49;2.8;0.088;32.0;11.7;1
7.3;0.49;2.5;0.088;106.0;11.0;0
9.8;0.49;2.7;0.088;33.0;10.0;1
7.6;0.49;2.0;0.088;43.0;9.1;0
8.2;0.49;2.3;0.099;133.0;9.8;0
9.3;0.49;2.5;0.085;142.0;9.4;0
9.2;0.49;2.4;0.086;116.0;9.5;0
10.4;0.24;2.8;0.105;53.0;9.9;0
7.3;0.49;2.5;0.088;106.0;11.0;0
7.0;0.49;2.5;0.097;85.0;11.4;1
8.2;0.49;2.6;0.084;55.0;8.7;1
9.9;0.24;2.4;0.077;33.0;9.4;0
9.1;0.24;2.1;0.078;28.0;10.3;1
11.9;0.49;2.7;0.098;42.0;10.3;0
11.9;0.49;2.7;0.098;42.0;10.3;0
10.3;0.24;2.1;0.072;33.0;12.8;1
10.0;0.24;2.7;0.102;32.0;10.0;1
